timestamp,experiment,iteration,audio_duration_s,arrival_time_s,asr_start_time_s,asr_finish_time_s,queue_wait_ms,service_time_ms,e2e_latency_ms,rtf,queue_depth_at_arrival,queue_depth_at_start,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb,success,error
2026-09-11T17:08:58.139,exp2_2.00x,16,17.302,129.76506449500448,129.7650979209866,136.93631507499958,0.03342598211020231,7171.217154012993,7171.250579995103,0.4144733067860937,1,0,82.62618758876165,2800.0,52.9,335.640625,True,
2026-09-11T17:09:06.792,exp2_2.00x,17,17.302,138.41606020898325,138.4160831719928,145.58902695999132,0.022963009541854262,7172.94378799852,7172.966751008062,0.41457310068191655,1,0,83.09536731867773,2800.0,53.45,335.640625,True,
2026-09-11T17:09:15.427,exp2_2.00x,18,17.302,147.0670665029902,147.06710511399433,154.2240332479996,0.03861100412905216,7156.928134005284,7156.966745009413,0.4136474473474329,1,0,82.9182517545963,2800.0,53.45,335.640625,True,
2026-09-11T17:09:24.044,exp2_2.00x,19,17.302,155.718058450002,155.7180777649919,162.841549158009,0.019314989913254976,7123.471393017098,7123.490708007012,0.4117137552315974,1,0,82.73840647690574,2800.0,54.0,335.640625,True,
2026-09-11T17:09:32.700,exp2_2.00x,20,17.302,164.36906014298438,164.36908271699212,171.49720835400512,0.02257400774396956,7128.1256370129995,7128.1482110207435,0.41198275557814124,1,0,82.48942779360955,2800.0,52.35,335.640625,True,
2026-09-11T17:09:41.379,exp2_2.00x,21,17.302,173.0200577089854,173.02011170898913,180.17616565999924,0.05400000372901559,7156.053951010108,7156.107951013837,0.41359692237949996,1,0,82.61361421328188,2800.0,52.35,335.625,True,
2026-09-11T17:09:48.521,exp3_1.50x,1,17.302,9.920401498675346e-05,0.00016203700215555727,7.139419290004298,0.06283298716880381,7139.2572530021425,7139.320085989311,0.4126261272108509,1,0,100.00492930459207,2800.0,52.9,346.09375,True,
2026-09-11T17:10:00.095,exp3_1.50x,2,17.302,11.534724049008219,11.53474364100839,18.713139789004344,0.019592000171542168,7178.396147995954,7178.415739996126,0.41488822956860216,1,0,62.12361201101551,2800.0,54.0,347.03125,True,
2026-09-11T17:10:11.660,exp3_1.50x,3,17.302,23.06939690001309,23.069429919007234,30.278522656008136,0.03301899414509535,7209.092737000901,7209.125755995046,0.4166623937695585,1,0,62.34119541316067,2800.0,53.45,347.5,True,
2026-09-11T17:10:23.184,exp3_1.50x,4,17.302,34.60406514501665,34.60410597801092,41.80178850601078,0.04083299427293241,7197.682527999859,7197.723360994132,0.4160029203560201,1,0,62.56907675426399,2800.0,52.35,347.5,True,
2026-09-11T17:10:34.668,exp3_1.50x,5,17.302,46.13872724401881,46.13874844700331,53.28576346801128,0.02120298449881375,7147.015021007974,7147.0362239924725,0.4130745012719902,1,0,62.347737741228165,2800.0,52.35,347.5,True,
2026-09-11T17:10:46.287,exp3_1.50x,6,17.302,57.673397509002825,57.67343515701941,64.90497790402151,0.03764801658689976,7231.542747002095,7231.580395018682,0.4179599322044905,1,0,62.310580809821374,2800.0,53.45,347.5,True,
2026-09-11T17:10:57.760,exp3_1.50x,7,17.302,69.20806171602453,69.20808230902185,76.3781437180005,0.020592997316271067,7170.061408978654,7170.08200197597,0.4144065084370971,1,0,62.49366970500688,2800.0,52.9,347.5,True,
2026-09-11T17:11:09.408,exp3_1.50x,8,17.302,80.74272973401821,80.74276769702556,88.0259754100116,0.037963007343932986,7283.207712986041,7283.245675993385,0.42094600121292575,1,0,62.586727239391614,2800.0,51.8,347.5,True,
2026-09-11T17:11:21.075,exp3_1.50x,9,17.302,92.27740082002128,92.27743770900997,99.69271319400286,0.03688898868858814,7415.27548499289,7415.312373981578,0.4285790940349607,1,0,63.42817109518771,2800.0,52.35,347.5,True,
2026-09-11T17:11:32.575,exp3_1.50x,10,17.302,103.81207530500251,103.81212862001848,111.19340566502069,0.053315015975385904,7381.277045002207,7381.330360018183,0.4266140934575313,1,0,64.17023225013229,2800.0,52.9,347.5,True,
2026-09-11T17:11:43.967,exp3_1.50x,11,17.302,115.3467270580004,115.34675048402278,122.58507395902416,0.02342602238059044,7238.32347500138,7238.34690102376,0.41835183649297075,1,0,63.46728705823378,2800.0,51.8,347.5,True,
2026-09-11T17:11:55.420,exp3_1.50x,12,17.302,126.88139407802373,126.8814202810172,134.03843168902677,0.026202993467450142,7157.011408009566,7157.037611003034,0.4136522603172793,1,0,62.60173879934415,2800.0,52.9,347.5,True,
2026-09-11T17:12:07.041,exp3_1.50x,13,17.302,138.41605808300665,138.41608180501498,145.65934361002292,0.02372200833633542,7243.261805007933,7243.285527016269,0.4186372560980195,1,0,62.301357676755835,2800.0,52.35,347.6875,True,
2026-09-11T17:12:18.583,exp3_1.50x,14,17.302,149.95072768401587,149.95075564700528,157.20078535101493,0.0279629894066602,7250.029704009648,7250.057666999055,0.4190284189116662,1,0,62.90391696816656,2800.0,52.9,347.71875,True,
2026-09-11T17:12:30.058,exp3_1.50x,15,17.302,161.48539865700877,161.4854344530031,168.6758212230052,0.03579599433578551,7190.386770002078,7190.422565996414,0.4155812489886764,1,0,62.65772949948921,2800.0,53.45,347.71875,True,
2026-09-11T17:12:41.623,exp3_1.50x,16,17.302,173.02006405600696,173.0201448709995,180.24120605102507,0.08081499254330993,7221.061180025572,7221.141995018115,0.4173541313157769,1,0,62.51412483093644,2800.0,53.45,347.703125,True,
2026-09-11T17:12:48.765,exp3_2.00x,1,17.302,9.94809961412102e-05,0.0001628509780857712,7.139101406995906,0.063369981944561,7138.93855601782,7139.001925999764,0.41260770754929027,1,0,100.14948032677441,2800.0,52.35,355.8125,True,
2026-09-11T17:12:57.422,exp3_2.00x,2,17.302,8.651056994975079,8.651074642984895,15.79568005198962,0.01764800981618464,7144.6054090047255,7144.623057014542,0.4129352334414938,1,0,82.59637410677365,2800.0,52.9,356.734375,True,
2026-09-11T17:13:06.100,exp3_2.00x,3,17.302,17.302060122980038,17.302085770992562,24.473944207973545,0.025648012524470687,7171.858436980983,7171.884084993508,0.4145103708808799,1,0,82.62012157717513,2800.0,52.9,356.8125,True,
2026-09-11T17:13:14.739,exp3_2.00x,4,17.302,25.95305710399407,25.953074418997858,33.11303665698506,0.017315003788098693,7159.962237987202,7159.97955299099,0.41382280880749056,1,0,82.99497463814349,2800.0,53.45,356.828125,True,
2026-09-11T17:13:23.377,exp3_2.00x,5,17.302,34.60406115997466,34.60408536400064,41.75052933799452,0.024204025976359844,7146.4439739938825,7146.468178019859,0.413041496589636,1,0,82.89424994915306,2800.0,53.45,356.828125,True,
2026-09-11T17:13:32.025,exp3_2.00x,6,17.302,43.25506212399341,43.25509604997933,50.398494126973674,0.033925985917449,7143.398076994345,7143.432002980262,0.4128654535310568,1,0,82.6784259389407,2800.0,52.35,356.828125,True,
2026-09-11T17:13:40.672,exp3_2.00x,7,17.302,51.906060457986314,51.90608555098879,59.04533155099489,0.025093002477660775,7139.246000006096,7139.271093008574,0.412625476823841,1,0,82.8048554082289,2800.0,53.45,356.828125,True,
2026-09-11T17:13:49.364,exp3_2.00x,8,17.302,60.55706116199144,60.5570843280002,67.73732022297918,0.02316600875928998,7180.235894978978,7180.259060987737,0.4149945610321915,1,0,82.71987248146607,2800.0,54.0,357.078125,True,
2026-09-11T17:13:57.989,exp3_2.00x,9,17.302,69.20806323399302,69.2080950489908,76.36309563097893,0.03181499778293073,7155.0005819881335,7155.032396985916,0.41353604103503255,1,0,83.1223670460687,2800.0,54.0,357.09375,True,
2026-09-11T17:14:06.619,exp3_2.00x,10,17.302,77.85906160098966,77.8590900079871,84.99236948098405,0.02840699744410813,7133.279472996946,7133.3078799943905,0.41228063073615456,1,0,82.7422630021844,2800.0,53.45,357.09375,True,
2026-09-11T17:14:15.280,exp3_2.00x,11,17.302,86.51006805797806,86.51012027999968,93.65365533399745,0.05222202162258327,7143.535053997766,7143.587276019389,0.4128733703616788,1,0,82.55119230590226,2800.0,54.0,357.09375,True,
2026-09-11T17:14:23.942,exp3_2.00x,12,17.302,95.1610978259996,95.16112686297856,102.3158346049895,0.029036978958174586,7154.707742010942,7154.7367789899,0.4135191158253925,1,0,82.6582765609601,2800.0,52.9,357.09375,True,
2026-09-11T17:14:32.555,exp3_2.00x,13,17.302,103.81206375698093,103.81209283097996,110.92919393797638,0.02907399903051555,7117.101106996415,7117.130180995446,0.4113455731705245,1,0,82.77833468795887,2800.0,54.55,357.109375,True,
