experiment,elapsed_s,queue_depth,cpu_percent,cpu_freq_mhz,cpu_temp_c,rss_mb
exp2_0.75x,164.73178888799157,0,101.73058363592682,2800.0,47.4,334.15625
exp2_0.75x,165.23279344500042,0,99.81177674842382,2800.0,46.85,334.15625
exp2_0.75x,165.73392422500183,0,99.7870243552689,2800.0,47.95,334.15625
exp2_0.75x,166.23460887899273,0,99.86170891213179,2800.0,46.85,334.15625
exp2_0.75x,166.73615691700252,0,101.67922076261496,2800.0,47.95,334.15625
exp2_0.75x,167.2369067199761,0,99.8597031111022,2800.0,48.5,334.15625
exp2_0.75x,167.73754385797656,0,99.87288219374429,2800.0,49.6,334.15625
exp2_0.75x,168.2381902379857,0,99.87269746531459,2800.0,49.6,334.15625
exp2_1.00x,0.5004201970004942,0,99.86067737926066,2800.0,49.6,375.1875
exp2_1.00x,1.0013323930033948,0,101.81286591712085,2800.0,49.6,334.234375
exp2_1.00x,1.502229885023553,0,99.8503036220529,2800.0,48.5,334.234375
exp2_1.00x,2.0028800280124415,0,99.83941888070939,2800.0,48.5,334.234375
exp2_1.00x,2.504092445014976,0,99.78059146048766,2800.0,48.5,334.234375
exp2_1.00x,3.0048153300012928,0,99.85867480624326,2800.0,50.7,334.234375
exp2_1.00x,3.505475956015289,0,99.86654574343376,2800.0,50.15,334.234375
exp2_1.00x,4.0063046569994185,0,99.82117654817085,2800.0,49.6,334.25
exp2_1.00x,4.507325856015086,0,99.81547891050467,2800.0,49.6,334.25
exp2_1.00x,5.007974004023708,0,99.86737991119077,2800.0,50.15,334.25
exp2_1.00x,5.508755836024648,0,99.84667265466716,2800.0,48.5,334.25
exp2_1.00x,6.0093888560077175,0,99.87088153477737,2800.0,49.6,334.25
exp2_1.00x,6.510045987000922,0,99.87323090774865,2800.0,49.05,334.25
exp2_1.00x,7.01067134202458,0,99.87278743448299,2800.0,50.15,334.25
exp2_1.00x,7.51129086400033,0,37.95724715879888,2800.0,48.5,334.25
exp2_1.00x,8.011775777005823,0,0.0,2800.0,46.85,334.25
exp2_1.00x,8.512316708016442,0,0.0,2800.0,46.85,334.25
exp2_1.00x,9.012782382022124,0,0.0,2800.0,46.3,334.25
exp2_1.00x,9.513301907019923,0,0.0,2800.0,46.85,334.25
exp2_1.00x,10.013793897000141,0,0.0,2800.0,46.3,334.25
exp2_1.00x,10.514329202007502,0,0.0,2800.0,46.3,334.25
exp2_1.00x,11.014838119997876,0,0.0,2800.0,45.75,334.25
exp2_1.00x,11.515290370996809,0,0.0,2800.0,46.3,334.25
